,wikidata,country,bathwateridentifier,status,eionet,euType,euMotive,NotEuMotive,link,WD
1934,Q107122396,si,SI00D3819300K06010,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SI00D3819300K06010,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SI00D3819300K06010'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q107122396'>link WD</a>
1935,Q107122403,si,SI00D3808500K07010,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SI00D3808500K07010,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SI00D3808500K07010'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q107122403'>link WD</a>
1936,Q107122413,si,SI00D0501700K05010,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SI00D0501700K05010,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SI00D0501700K05010'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q107122413'>link WD</a>
1937,Q107122426,si,SI00D0501700K04010,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SI00D0501700K04010,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SI00D0501700K04010'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q107122426'>link WD</a>
1938,Q107122439,si,SI00D0501700K03010,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SI00D0501700K03010,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SI00D0501700K03010'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q107122439'>link WD</a>
1939,Q107122502,si,SI00D0501700K02070,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SI00D0501700K02070,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SI00D0501700K02070'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q107122502'>link WD</a>
1940,Q107122515,si,SI00D0501700K02065,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SI00D0501700K02065,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SI00D0501700K02065'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q107122515'>link WD</a>
1941,Q107122524,si,SI00D0501700K02060,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SI00D0501700K02060,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SI00D0501700K02060'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q107122524'>link WD</a>
1942,Q107122532,si,SI0094400300K64010,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SI0094400300K64010,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SI0094400300K64010'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q107122532'>link WD</a>
1943,Q107122543,si,SI00C1304000K32050,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SI00C1304000K32050,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SI00C1304000K32050'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q107122543'>link WD</a>
1944,Q107122554,sk,SKREK002,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SKREK002,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SKREK002'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q107122554'>link WD</a>
1945,Q107122629,sk,SKREK003,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SKREK003,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SKREK003'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q107122629'>link WD</a>
1946,Q107122637,sk,SKREK004,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SKREK004,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SKREK004'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q107122637'>link WD</a>
1947,Q107122644,sk,SKREK005,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SKREK005,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SKREK005'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q107122644'>link WD</a>
1948,Q107122650,sk,SKREK006,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SKREK006,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SKREK006'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q107122650'>link WD</a>
