,wikidata,coord,osmid
2306,Q106711961,,
2307,Q106712148,,
2308,Q106709331,,
2309,Q106712015,,
2310,Q106708787,,
2311,Q106711350,,
2312,Q106710776,,
2313,Q106711889,,
2314,Q106707183,,
2315,Q106712062,,
2316,Q106712008,,
2317,Q106708752,,
2318,Q106708449,,
2319,Q106709123,,
2320,Q106709368,,
2321,Q106711970,,
2322,Q106710459,,
2323,Q106708211,,
2324,Q106708059,,
2325,Q106711853,,
2326,Q106709387,,
2327,Q106708812,,
2328,Q106712131,,
2329,Q106708890,,
2330,Q106712000,,
2331,Q106708889,,
2332,Q106708861,,
2333,Q106710497,,
2334,Q106707089,,
2335,Q106709356,,
2336,Q106709246,,
2337,Q106711721,,
2338,Q106712134,,
2339,Q106711084,,
2340,Q106707024,,
2341,Q106707776,,
2342,Q106711418,,
2343,Q106709712,,
2344,Q106708322,,
2345,Q106711043,,
2346,Q106709684,,
2347,Q106709177,,
2348,Q106708468,,
2349,Q106709141,,
2350,Q106708331,,
2351,Q106708060,,
2352,Q106708214,,
2353,Q106710461,,
2354,Q106709398,,
2355,Q106710175,,
2356,Q106708012,,
2357,Q106709058,,
2358,Q106712046,,
2359,Q106711963,,
2360,Q106709210,,
2361,Q106708326,,
2363,Q106712132,,
2364,Q106709001,,
2365,Q106708212,,
2366,Q106708973,,
2367,Q106711874,,
2368,Q106711676,,
2369,Q106708970,,
2370,Q106709266,,
2371,Q106708849,,
2372,Q106708216,,
2373,Q106711918,,
2374,Q106708457,,
2375,Q106707775,,
2376,Q106707803,,
2378,Q106708556,,
2379,Q106709291,,
2380,Q106708813,,
2381,Q106712040,,
2382,Q106707032,,
2384,Q106709028,,
2385,Q106710034,,
2386,Q106708436,,
2387,Q106711647,,
2388,Q106707798,,
2389,Q106708437,,
2390,Q106711656,,
2391,Q106710214,,
2392,Q106710231,,
2393,Q106709391,,
2394,Q106709130,,
2395,Q106707642,,
2396,Q106708168,,
2397,Q106711922,,
